"Date","Sector","sector_flow","prop"
2015-01-02,"Basic Materials",2299990261.28181,0.0282112797950445
2015-01-02,"Communication Services",6837913163.24748,0.0838726514237862
2015-01-02,"Consumer Cyclical",9714505512.62771,0.119156431964415
2015-01-02,"Consumer Defensive",5602079160.27906,0.0687141268748425
2015-01-02,"Energy",6318335579.17017,0.0774996033085871
2015-01-02,"Financial Services",9875082991.53001,0.121126047341643
2015-01-02,"Healthcare",10102062953.799,0.123910144009891
2015-01-02,"Industrials",8953143018.8517,0.109817692275405
2015-01-02,"Real Estate",2323155042.33451,0.0284954149632101
2015-01-02,"Technology",16395447696.4536,0.201103704705207
2015-01-02,"Utilities",3105612625.08439,0.0380929033379691
2015-01-05,"Basic Materials",3677170447.72511,0.0313932551267049
2015-01-05,"Communication Services",9643530715.13674,0.0823301025520303
2015-01-05,"Consumer Cyclical",12618786590.5107,0.107730874175393
2015-01-05,"Consumer Defensive",7937862321.49569,0.0677682311880697
2015-01-05,"Energy",10460689048.4197,0.089306461249663
2015-01-05,"Financial Services",15139024340.9473,0.129247001263914
2015-01-05,"Healthcare",15550142738.6839,0.132756858892465
2015-01-05,"Industrials",13843620514.7006,0.118187698088389
2015-01-05,"Real Estate",3248102685.95777,0.0277301576708502
2015-01-05,"Technology",20896405274.4646,0.178399721018679
2015-01-05,"Utilities",4117165054.26788,0.0351496387738424
2015-01-06,"Basic Materials",3791779541.17744,0.0285734160996783
2015-01-06,"Communication Services",10805155268.1117,0.0814235622468485
2015-01-06,"Consumer Cyclical",13996798846.3991,0.105474580776251
2015-01-06,"Consumer Defensive",8889060776.27761,0.0669845990616425
2015-01-06,"Energy",10930694124.5745,0.0823695755747418
2015-01-06,"Financial Services",19649765198.0448,0.148073196547277
2015-01-06,"Healthcare",17078525643.8504,0.128697308029472
2015-01-06,"Industrials",15189583173.0259,0.114462952202323
2015-01-06,"Real Estate",4599121495.22976,0.0346572396282743
2015-01-06,"Technology",22774002009.0233,0.171616263179864
2015-01-06,"Utilities",4998566578.18688,0.0376673066536268
2015-01-07,"Basic Materials",3113917689.15094,0.0288284427288749
2015-01-07,"Communication Services",8952117507.36626,0.0828781081023483
2015-01-07,"Consumer Cyclical",12799565576.6862,0.118497526272953
2015-01-07,"Consumer Defensive",8070912026.33264,0.0747199664048794
2015-01-07,"Energy",8934066554.59862,0.0827109935829515
2015-01-07,"Financial Services",15366811827.3698,0.142264921206545
2015-01-07,"Healthcare",14696518507.2465,0.13605939025817
2015-01-07,"Industrials",11164267950.9726,0.103358049686337
2015-01-07,"Real Estate",3753269939.8308,0.034747523315532
2015-01-07,"Technology",17629845483.0397,0.163215936181442
2015-01-07,"Utilities",3534173413.92178,0.0327191422599667
2015-01-08,"Basic Materials",3615443672.70531,0.0296914252445359
2015-01-08,"Communication Services",10509999350.8779,0.0863121896774598
2015-01-08,"Consumer Cyclical",14284659578.3983,0.117311163002657
2015-01-08,"Consumer Defensive",10127820565.0066,0.08317358930694
2015-01-08,"Energy",9518043966.23927,0.0781658674511547
2015-01-08,"Financial Services",14119941733.9712,0.115958436198705
2015-01-08,"Healthcare",18530916360.9881,0.15218307008869
2015-01-08,"Industrials",12637136578.6701,0.103781065340125
2015-01-08,"Real Estate",4034915478.60387,0.0331362903550213
2015-01-08,"Technology",21069475611.9141,0.173030702924661
2015-01-08,"Utilities",3318913002.7578,0.0272562004100496
2015-01-09,"Basic Materials",3108430077.57051,0.0314461566125796
2015-01-09,"Communication Services",8300241690.77302,0.0839686573662007
2015-01-09,"Consumer Cyclical",12666577203.3968,0.128140302513949
2015-01-09,"Consumer Defensive",6488288957.07623,0.065638198576227
2015-01-09,"Energy",8236919254.13023,0.0833280615637962
2015-01-09,"Financial Services",12539208811.0967,0.126851791493335
2015-01-09,"Healthcare",13707600761.8928,0.138671724820684
2015-01-09,"Industrials",10089921817.004,0.102073797302264
2015-01-09,"Real Estate",2848626767.3857,0.0288178795155688
2015-01-09,"Technology",17743763183.2237,0.17950320323508
2015-01-09,"Utilities",3119705853.76681,0.0315602270003152
2015-01-12,"Basic Materials",3792307532.86916,0.0376731227232342
2015-01-12,"Communication Services",8164627100.83736,0.0811081369570725
2015-01-12,"Consumer Cyclical",11873156951.6526,0.117949004682491
2015-01-12,"Consumer Defensive",7160177955.79569,0.0711298491778182
2015-01-12,"Energy",9554121033.34923,0.0949114941450127
2015-01-12,"Financial Services",12645152173.0778,0.125618074362738
2015-01-12,"Healthcare",13268413589.7861,0.131809609104265
2015-01-12,"Industrials",10489412200.3545,0.104202760375705
2015-01-12,"Real Estate",2698152529.64883,0.026803688913531
2015-01-12,"Technology",18069732136.0611,0.179506337615707
2015-01-12,"Utilities",2948224064.68168,0.0292879219424258
2015-01-13,"Basic Materials",3997126412.28993,0.0332846222634694
2015-01-13,"Communication Services",10206535921.3935,0.0849912306294783
2015-01-13,"Consumer Cyclical",13761261507.8333,0.114591920272706
2015-01-13,"Consumer Defensive",7880887039.64269,0.0656252320189445
2015-01-13,"Energy",10709283846.7982,0.0891776818608902
2015-01-13,"Financial Services",16499936672.4603,0.137397245637617
2015-01-13,"Healthcare",17008637706.5847,0.141633269225414
2015-01-13,"Industrials",11343106593.5301,0.0944556111858419
2015-01-13,"Real Estate",3318064535.40717,0.0276299804697872
2015-01-13,"Technology",21302243368.2201,0.177386715039992
2015-01-13,"Utilities",4062199087.71156,0.0338264913958597
2015-01-14,"Basic Materials",4687066096.89014,0.0372304803320829
2015-01-14,"Communication Services",10211336800.505,0.0811110758962245
